Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
Lift to the Scaffold,91,1958,7.9,9.4,24340,109257
Seven Brides for Seven Brothers,102,1954,7.4,7.5,24249,9403000
Dracula,82,1958,7.3,6.7,24217,0
The Magnificent Ambersons,88,1942,7.7,9.3,24181,0
Black Narcissus,101,1947,7.8,8.6,23969,0
Great Expectations,118,1946,7.8,9.0,23673,0
Meet Me In St. Louis,113,1944,7.6,9.4,23577,7566000
Marty,90,1955,7.7,9.4,23409,0
How Green Was My Valley,118,1941,7.7,8.8,23333,0
Killer's Kiss,67,1955,6.6,8.8,23115,0
My Darling Clementine,102,1946,7.8,8.8,22974,0
Ugetsu Monogatari,96,1953,8.2,8.8,22672,11197
The Ox-Bow Incident,75,1942,8.0,8.8,22645,1635000
The Fly,94,1958,7.1,8.8,22500,3000000
Scrooge,86,1951,8.1,8.8,22496,0
Gigi,115,1958,6.7,8.2,22207,0
Cat People,73,1942,7.3,8.2,21963,4000000
A Place in the Sun,122,1951,7.8,7.6,21926,0
How to Marry a Millionaire,95,1953,6.9,7.6,21864,0
Pickpocket,76,1959,7.7,7.6,21530,0
Mon Oncle,120,1958,7.8,7.6,21442,0
Them!,94,1954,7.2,7.6,21418,0
A Matter of Life and Death,104,1946,8.1,7.6,21331,0
A Man Escaped,101,1956,8.3,7.6,21053,0
Bad Day at Black Rock,81,1955,7.7,7.6,20925,0
The Lady Eve,94,1941,7.8,9.6,20801,0
Adam's Rib,101,1949,7.5,8.7,20739,0
The Killers,103,1946,7.8,8.7,20624,0
I Confess,95,1953,7.3,6.8,20464,0
The Postman Always Rings Twice,113,1946,7.5,8.4,20185,8330000
Foreign Correspondent,115,1940,7.5,8.8,20095,3484588
Kiss Me Deadly,106,1955,7.6,8.8,19912,0
Los Olvidados,85,1950,8.3,8.8,19720,0
Limelight,137,1952,8.1,8.8,19675,1000000
Moby Dick,116,1956,7.3,8.8,19509,10400000
Les Enfants du Paradis,189,1945,8.4,9.6,19372,0
3:10 to Yuma,92,1957,7.6,9.6,19279,0
Winchester '73,92,1950,7.6,9.6,19272,0
Dark Passage,106,1947,7.5,9.6,19119,0
The Ghost and Mrs. Muir,104,1947,7.9,9.6,18225,0
Les Vacances de Monsieur Hulot,114,1953,7.4,9.6,18061,0
I Vitelloni,109,1953,7.9,8.7,17844,97944
Sergeant York,134,1941,7.7,8.7,17773,16400000
House of Wax,88,1953,7.1,8.7,17658,23750000
Fort Apache,128,1948,7.5,8.7,17510,0
The Incredible Shrinking Man,81,1957,7.6,7.3,17480,0
The Big Country,166,1958,7.9,7.3,17393,0
A Star Is Born,154,1954,7.6,8.9,17386,14933000
The Bishop's Wife,109,1947,7.6,7.2,17378,0
Bud Abbott Lou Costello Meet Frankenstein,83,1948,7.4,7.2,17201,4796000
Mrs. Miniver,134,1942,7.6,7.2,17184,13500000
On the Town,98,1949,7.4,7.1,17139,0
Guys and Dolls,150,1955,7.2,7.7,17082,13000000
Johnny Guitar,110,1954,7.6,8.3,17076,0
She Wore a Yellow Ribbon,104,1949,7.3,8.3,17032,0
Journey to the Center of the Earth,129,1959,7.0,8.3,17024,10000000
Monsieur Verdoux,124,1947,7.9,8.3,17017,325000
Pillow Talk,102,1959,7.4,7.3,16890,18750000
Detour,68,1945,7.4,7.3,16823,16172
Animal Farm,72,1954,7.2,7.3,16737,0
The Cranes Are Flying,95,1957,8.3,7.3,16692,16990
Niagara,92,1953,7.0,7.3,16600,0
Stray Dog,122,1949,7.9,7.3,16575,0
"Now, Voyager",117,1942,7.9,7.0,16454,0
Hamlet,154,1948,7.6,8.2,16444,0
High Sierra,100,1941,7.5,8.2,16420,0
Mister Roberts,123,1955,7.7,7.2,16303,21200000
Late Spring,108,1949,8.3,7.2,16275,0
Scarlet Street,102,1945,7.8,7.2,16015,0
Sansho Dayu,124,1954,8.4,7.2,15931,0
Gentleman's Agreement,118,1947,7.3,7.2,15856,0
Imitation of Life,125,1959,7.8,8.7,15815,13990819
The Wild One,79,1953,6.8,8.7,15741,0
Rio Grande,105,1950,7.1,8.7,15690,0
The Woman in the Window,107,1944,7.7,8.7,15521,0
High Society,111,1956,7.0,6.5,15413,13000000
The Heiress,115,1949,8.2,6.5,15368,0
Gunfight at The O.K Corral,122,1957,7.2,5.6,15282,11750000
Ordet,126,1955,8.3,5.6,15231,0
A Face in the Crowd,126,1957,8.2,7.2,15206,0
Yankee Doodle Dandy,126,1942,7.7,8.9,15133,11800000
Love in the Afternoon,130,1957,7.2,8.9,15109,0
Holiday Inn,100,1942,7.4,8.9,15085,8175000
"Suddenly, Last Summer",114,1959,7.6,5.4,15060,13897500
The Adventures of Ichabod and Mr. Toad,68,1949,7.0,7.4,14934,0
A Night to Remember,114,1958,7.9,7.4,14897,0
Quo Vadis,166,1951,7.2,7.4,14732,24291740
The Defiant Ones,96,1958,7.6,6.9,14627,0
All the King's Men,110,1949,7.5,6.9,14542,0
And Then There Were None,97,1945,7.5,6.9,14502,0
The Bad and the Beautiful,118,1952,7.8,6.9,14487,0
The Life and Death of Colonel Blimp,163,1943,8.1,6.9,14356,0
All That Heaven Allows,89,1955,7.6,6.9,14305,0
Twelve O'Clock High,132,1949,7.7,6.9,14262,0
Pickup on South Street,80,1953,7.7,6.9,14141,0
The Greatest Show on Earth,152,1952,6.6,6.9,14099,36000000
The Bad Seed,129,1956,7.5,5.1,14032,0
The Vikings,116,1958,7.1,5.1,13992,7000000
Operation Petticoat,124,1959,7.3,5.1,13954,23300000
Summer with Monika,96,1953,7.5,5.1,13937,0
The World of Apu,105,1959,8.5,5.1,13917,16000
Monkey Business,97,1952,7.0,5.1,13898,0
Stage Fright,110,1950,7.1,5.1,13844,0
The Lavender Hill Mob,81,1951,7.6,5.1,13840,0
The Three Caballeros,71,1944,6.4,8.5,13582,0
Song of the South,94,1946,7.1,5.4,13519,63717040
The Unvanquished,110,1956,8.3,5.4,13384,170215
Smiles of a Summer Night,109,1955,7.8,5.4,13325,0
Night of the Demon,95,1957,7.5,5.4,13267,0
The Naked City,96,1948,7.6,7.4,13217,0
Night and the City,101,1950,7.9,7.4,13193,3600000
Meet John Doe,135,1941,7.6,7.4,13187,0
Old Yeller,83,1957,7.3,8.4,13065,21909000
